i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
276,842,270900,93030.375,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,271000,1157318.409,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,847192,1425,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,847193,393,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,847330,3095,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,854211,147,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,870323,281952,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,870324,205986,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,870899,33421,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
276,842,880240,832,93030.375,281952,147,1157318.409,3095,205986,393,33421,1425,832
528,276,270900,19263,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,271000,22332119.8,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,847192,20684.626,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,847193,4590.691,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,847330,6026.122,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,854211,253,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,870323,64711.853,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,870324,77.018,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
528,276,870899,19297.852,19263,64711.853,253,22332119.8,6026.122,77.018,4590.691,19297.852,20684.626,0
276,826,270900,155060.992,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,271000,397126.271,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,847192,5847.397,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,847193,1520.774,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,847330,4023.691,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,854211,506.248,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,870323,267860.952,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,870324,19341.815,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,870899,75347.515,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
276,826,880240,139,155060.992,267860.952,506.248,397126.271,4023.691,19341.815,1520.774,75347.515,5847.397,139
842,826,270900,0.722,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,271000,140856.082,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,847192,4961.753,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,847193,2557.375,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,847330,16509.066,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,854211,1095.323,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,870323,14984.468,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,870324,10510.121,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,870899,10909.992,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
842,826,880240,1558.05,0.722,14984.468,1095.323,140856.082,16509.066,10510.121,2557.375,10909.992,4961.753,1558.05
156,392,270900,10678116.03,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,271000,331887.866,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,847192,49311.014,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,847193,7677.997,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,847330,9706.224,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,854211,878.117,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,870323,37.306,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,870324,3.767,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
156,392,870899,4707.515,10678116.03,37.306,878.117,331887.866,9706.224,3.767,7677.997,4707.515,49311.014,0
276,528,270900,251385.767,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,271000,1204003.963,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
